Child No.0, CPU Time:63, IO Time:6 
Child No.1, CPU Time:77, IO Time:5 
Child No.2, CPU Time:73, IO Time:5 
Child No.3, CPU Time:66, IO Time:2 
Child No.4, CPU Time:69, IO Time:1 
Child No.5, CPU Time:62, IO Time:7 
Child No.6, CPU Time:70, IO Time:9 
Child No.7, CPU Time:63, IO Time:6 
Child No.8, CPU Time:60, IO Time:6 
Child No.9, CPU Time:72, IO Time:6 
Time: 1, Child No.0 gets CPU time, Remaining:61, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 2, Child No.1 gets CPU time, Remaining:75, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 3, Child No.2 gets CPU time, Remaining:71, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 4, Child No.3 gets CPU time, Remaining:64, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 5, Child No.4 gets CPU time, Remaining:67, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 6, Child No.5 gets CPU time, Remaining:60, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 7, Child No.6 gets CPU time, Remaining:68, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 8, Child No.7 gets CPU time, Remaining:61, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 9, Child No.8 gets CPU time, Remaining:58, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 10, Child No.9 gets CPU time, Remaining:70, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 11, Child No.0 gets CPU time, Remaining:59, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 12, Child No.1 gets CPU time, Remaining:73, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 13, Child No.2 gets CPU time, Remaining:69, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 14, Child No.3 gets CPU time, Remaining:62, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 15, Child No.4 gets CPU time, Remaining:65, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 16, Child No.5 gets CPU time, Remaining:58, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 17, Child No.6 gets CPU time, Remaining:66, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 18, Child No.7 gets CPU time, Remaining:59, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 19, Child No.8 gets CPU time, Remaining:56, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 20, Child No.9 gets CPU time, Remaining:68, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 21, Child No.0 gets CPU time, Remaining:57, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 22, Child No.1 gets CPU time, Remaining:71, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 23, Child No.2 gets CPU time, Remaining:67, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 24, Child No.3 gets CPU time, Remaining:60, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 25, Child No.4 gets CPU time, Remaining:63, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 26, Child No.5 gets CPU time, Remaining:56, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 27, Child No.6 gets CPU time, Remaining:64, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 28, Child No.7 gets CPU time, Remaining:57, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 29, Child No.8 gets CPU time, Remaining:54, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 30, Child No.9 gets CPU time, Remaining:66, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 31, Child No.0 gets CPU time, Remaining:55, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 32, Child No.1 gets CPU time, Remaining:69, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 33, Child No.2 gets CPU time, Remaining:65, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 34, Child No.3 gets CPU time, Remaining:58, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 35, Child No.4 gets CPU time, Remaining:61, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
